MJD,FREQUENCY,NPROFILES,FREQUENCY_ERR,FDOT,FDOT_ERR,AMPLITUDE,AMPSIG
54756.78796180699,-0.02404140034775431,349,0.8635383608179836,-1.2982423214596565e-12,0.0,0.2915026545524597,0.01647290214896202

54759.69363882576,-0.02496350618891505,330,0.8766807013671496,-1.2982423214480837e-12,0.0,0.3143869638442993,0.017183471471071243

54767.25175176396,-0.029819551124987242,249,2.5665914904493548,-1.2982423214140037e-12,0.0,0.1860581338405609,0.01931667886674404

54770.140639257705,-0.030081213210360943,223,2.418281894733809,-1.2982423215266042e-12,0.0,0.17818766832351685,0.021199889481067657

54774.79368971116,-0.03012573273410077,233,2.8949102670594584,-1.2982423215161445e-12,0.0,0.11840744316577911,0.019250767305493355

54777.67949068559,-0.033092054450509056,271,1.695560598591328,-1.298242321585875e-12,0.0,0.16209542751312256,0.01743030920624733

54780.59575288488,-0.03280352623726248,255,3.1189429705591465,-1.2982423214308942e-12,0.0,0.12179194390773773,0.017355801537632942

54785.24198975612,-0.03454262675098023,243,1.9236127002386638,-1.2982423212504158e-12,0.0,0.1386307030916214,0.016995461657643318

54788.124706723844,-0.03471674544005083,228,1.8346551655668009,-1.29824232126208e-12,0.0,0.14049766957759857,0.017930859699845314

54791.03337688605,-0.03791723272289735,222,2.140851336207561,-1.2982423215482923e-12,0.0,0.17230640351772308,0.01958906278014183

54809.02272540748,-0.04413316998558893,349,2.5016461790983158,-1.2982423216522505e-12,0.0,0.14172165095806122,0.015848886221647263

54819.56821538935,-0.04691930107214668,175,2.0926674437760084,-1.2982423214359712e-12,0.0,0.1600566953420639,0.02305707335472107

54843.287794721226,-0.05876434889280812,240,3.0471679224319814,4.74577747224843e-12,0.0,0.12405484169721603,0.019265253096818924

54853.725156561806,-0.043839773641124645,230,3.3380419495188107,4.74577747243465e-12,0.0,0.13033731281757355,0.021751681342720985

54871.916499310275,-0.008155655812127766,292,2.4034702050812484,4.745777472139505e-12,0.0,0.1406208723783493,0.01809324324131012

54874.615367493425,-0.0069066516676310275,249,2.275269110896261,4.4664102203915045e-12,0.0,0.13731637597084045,0.019864194095134735

54882.147032214976,-0.016877597581646607,260,1.6781189060566248,-2.1728697804527028e-12,0.0,0.16332845389842987,0.017865635454654694

